Time [s],v Bus 1,v Bus 2,v Bus 3,v Bus 4,v Bus 5,v Bus 6,v Bus 7,v Bus 8,v Bus 9,v Bus 10,v Bus 11,v Bus 12,v Bus 13,v Bus 14
0.000000000000000000e+00,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
3.333333333333333287e-02,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
6.666666666666666574e-02,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
1.000000000000000056e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
1.333333333333333315e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
1.666666666666666574e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
1.999999999999999833e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
2.333333333333333093e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
2.666666666666666630e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
2.999999999999999889e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
3.333333333333333148e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
3.666666666666666408e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
3.999999999999999667e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
4.333333333333332926e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
4.666666666666666186e-01,1.030000000000000027e+00,1.030000000000000027e+00,1.010000000000000009e+00,1.011403450052098529e+00,1.017255504688562295e+00,1.030000000000000027e+00,1.022471499450091414e+00,1.030000000000000027e+00,1.021768787489327757e+00,1.015542061685158259e+00,1.019115143052946149e+00,1.017406984453876007e+00,1.014450231416415882e+00,1.016340198575339526e+00
